region,x10_2,x10_1
北京,1044.12,904.46
天津,1592.11,1582.44
河北,43288.78,18356.16
山西,30520.46,19814.58
内蒙古,20080.59,9984.08
辽宁,26759.45,11742.28
吉林,4591.13,3711.69
黑龙江,6094.49,4144.87
上海,2054.49,1995.35
江苏,10855.87,10501.86
浙江,4299.58,4091.13
安徽,11936.74,10461.71
福建,8535.17,7543.88
江西,11518.19,6430.98
山东,18172.44,17134.43
河南,16270.08,12465.81
湖北,8180.61,6196.28
湖南,7805.68,5010.85
广东,5911.84,5023.74
广西,7675.64,5424.94
海南,414.89,271.24
重庆,3161.8,2695.41
四川,14006.62,5780.47
贵州,8194.05,4159.92
云南,16039.97,8413.87
西藏,361.52,5.49
陕西,7491.1,4758.46
甘肃,5907.22,3299.79
青海,12377.39,6797.9
宁夏,3276.85,2397.89
新疆,9283.05,4814.37
