region,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
北京市,84.1,56.63,38.37,52.82,35.91,136.94,266.6,136.5927,138.73,105.9,120.2,193.9,201.1,--,--,--,--
天津市,58.04,65.13,85.93,121.86,141.3,215.93,350.3,314.07,312.59,323.5,416.97,429.81,368.6,--,--,--,--
河北省,66.81,79.97,101.4,105.54,166.8,214.12,288.4,454.16,562.92,710,864.28,979.41,1029,--,--,--,--
山西省,32.81,40.34,60.84,55.79,52.34,48.09,77.4,126.92,228.45,254.1,210.31,226.41,86,--,--,--,--
内蒙古,30.4,14.48,22.19,20.23,64.2,53.9,120.31,224.5831,268.33,338.5,344.15,321.2,182.1,--,--,--,--
辽宁省,75.16,103.08,155.62,238.94,356.6,440.27,350.63,460.2012,611.52,563.9,514.7,194.41,276.1,--,--,--,--
吉林省,57.22,85.5,105.51,166.13,215,275.43,311.33,372.8,443.24,478.2,515.62,565.6,434.2,--,--,--,--
黑龙江,43.47,34.51,43.47,45.31,64.41,103.9,115.3,166.3623,148.99,141.7,142.39,139.3,150.4,--,--,--,--
上海市,126.8,150.77,176.4,148.42,92.1,232.34,278.54,272.16,308.2,249,236.25,241.01,233,--,--,--,--
江苏省,400.16,584.74,761.2,914.73,907.7,1324.22,2104.9,2432.63,2617.75,2797.9,3110.17,3526.6,4068.8,--,--,--,--
浙江省,102.78,117.5,145.48,158.14,139.6,152.63,306.9,436.73,551.13,607.2,735.35,850.9,904.1,--,--,--,--
安徽省,32.92,49.15,69.94,114.31,189.14,415.29,500.9,700.6228,870.03,891.9,1031.83,1453.14,1844.2,--,--,--,--
福建省,51.04,64.9,92.51,98.52,92.9,161.18,212.7,280.1141,377.48,406,580.23,987.9,1036.1,--,--,--,--
江西省,69.88,116.77,147.81,195.93,311.1,453.03,428.6,675.3201,833.1,1013,1087.26,1317.85,1890,--,--,--,--
山东省,198.56,268.64,261.31,365.59,476.8,520.96,695.3,1086.6232,1277.65,1412.9,1643.88,1866.6,1831.2,--,--,--,--
河南省,52.43,86.78,141.96,175.31,219.3,325.86,562.92,899.62,1206.15,1523.7,1726.49,1822.5,1826.4,--,--,--,--
湖北省,53.96,68.31,118.17,164.43,196.11,266.24,361.43,713.1022,909.12,1092,1261.15,1305.21,1618.1,--,--,--,--
湖南省,38.79,54.51,77.85,109.93,150.1,227.17,274.41,552.78,683.68,800,920.73,943.9,1211.8,--,--,--,--
广东省,318.29,422.74,420.62,440.45,327.74,495.85,703.53,881.6044,934.57,1004.8,1366.55,1651.21,2103.2,--,--,--,--
广西,24.12,31.08,35.34,43.07,66.5,93.33,142.1,195.27,231.92,336.8,365.62,382.3,505.1,--,--,--,--
海南省,7.33,2.46,1.21,1.26,5,7.93,15.1,25.9113,38.78,47.6,28.28,36.3,30.5,--,--,--,--
重庆市,28.3,41.28,67.09,53.55,75.71,195.21,232.3,371.5922,415.1,563.3,770.88,1031.05,1201.9,--,--,--,--
四川省,99.58,121.17,171.43,242.59,325,334.43,459.9,643.6,823.59,733.7,768.49,916.1,1582.2,--,--,--,--
贵州省,10.36,15.68,17.97,16.09,21.8,19.69,62.21,85.58,107.46,143.8,137.84,217.2,312.3,--,--,--,--
云南省,12.94,9.78,4.03,12.85,26.84,31.09,34.3,54.2133,61.6,71.9,64.98,113.2,164.9,--,--,--,--
西藏,0.22,0.12,0.07,1.58,3,1.68,2.7,3.72,3.23,4.7,2.18,3.74,6.2,--,--,--,--
陕西省,49.31,56.91,62.69,82.83,139.4,163.6,143.5,222.0908,403.63,620.7,747.2,703.32,751.3,--,--,--,--
甘肃省,10.48,7.86,8.32,12.16,10.51,22.43,35.2,69.86,112.49,115.4,112.22,146,67.8,--,--,--,--
青海省,2.28,1.23,1.64,1.82,4.6,4.53,6.74,15.81,26.98,37.8,56.47,76.9,100.9,--,--,--,--
宁夏,1.59,5.45,8.67,6.13,4.1,3.8,7.4,16.0248,17.8,13,25.12,86.1,90.8,--,--,--,--
新疆,3.94,3.55,2.93,2.92,1.21,3.65,17.1,42.0139,31.47,48.9,42.82,57.95,78,--,--,--,--
