region,year,制造业增加值亿元,gdp
安徽省,2003,1256,3923
安徽省,2004,1489,4759
安徽省,2005,1837,5350
安徽省,2006,2240,6113
安徽省,2007,2810,7361
安徽省,2008,3506,8852
安徽省,2009,4065,10063
安徽省,2010,5407,12359
安徽省,2011,7062,15301
安徽省,2012,8026,17212
安徽省,2013,8880,19229
安徽省,2014,9455,20849
安徽省,2015,9265,22006
安徽省,2016,10077,24408
安徽省,2017,9740,27018
安徽省,2018,10640,30007
安徽省,2019,11182,37114
安徽省,2020,11662,38681
北京市,2003,1224,5024
北京市,2004,1555,6060
北京市,2005,1707,6970
北京市,2006,1822,8118
北京市,2007,2083,9847
北京市,2008,2132,11115
北京市,2009,2303,12153
北京市,2010,2764,14114
北京市,2011,3049,16252
北京市,2012,3294,17879
北京市,2013,3566,19801
北京市,2014,3747,21331
北京市,2015,3711,23015
北京市,2016,4027,25669
北京市,2017,3886,28015
北京市,2018,4140,30320
北京市,2019,4243,35371
北京市,2020,4216,36103
福建省,2003,2061,4984
福建省,2004,2439,5763
福建省,2005,2802,6555
福建省,2006,3230,7584
福建省,2007,3897,9249
福建省,2008,4593,10823
福建省,2009,5106,12237
福建省,2010,6398,14737
福建省,2011,7675,17560
福建省,2012,8542,19702
福建省,2013,9455,21868
福建省,2014,10427,24056
福建省,2015,10820,25980
福建省,2016,11698,28811
福建省,2017,12865,32182
福建省,2018,14781,35804
福建省,2019,15654,42395
福建省,2020,15746,43904
甘肃省,2003,448,1400
甘肃省,2004,574,1688
甘肃省,2005,686,1934
甘肃省,2006,868,2277
甘肃省,2007,1064,2702
甘肃省,2008,1189,3167
甘肃省,2009,1204,3388
甘肃省,2010,1603,4121
甘肃省,2011,1924,5020
甘肃省,2012,2070,5650
甘肃省,2013,2155,6331
甘肃省,2014,2263,6837
甘肃省,2015,1778,6790
甘肃省,2016,1758,7200
甘肃省,2017,2021,7460
甘肃省,2018,2253,8246
甘肃省,2019,2320,8718
甘肃省,2020,2289,9017
广东省,2003,6887,15845
