region,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京市,5036.4,5855.1,4255.1,4243.3,4139.9,3885.9,3635.5,3458.9,3522.8,3336.6,3090.1,2859.6,2607.5,2182.6,2030.8,1989.1,1713.8,1600.5,1483.2,1195.1
天津市,5402.7,5056.5,4296.4,4372.3,4276.9,3942.5,3773,3815.1,3972.4,3814.7,3575.2,3231.3,2837.3,2478.7,2370.2,1888.6,1644.6,1451.3,1207.2,1021.3
河北省,14675.3,14132.3,11664.1,11310.4,10930.3,11015.7,10755.9,10026.4,10056.3,9847.5,9665.1,9132.8,7495.1,6337.5,6296.9,5267.4,4239.5,3638.5,3047.8,2563.2
山西省,12758.6,10543.6,6768.5,6582.7,6260.2,5887.3,4441.2,4597.2,5769.2,6113.9,6330.4,6251,4923.9,3739.8,4092.3,3350.9,2578.9,2192.3,1757.8,1364
内蒙古自治区,9703.9,8443.8,5597.6,5458.6,5104.2,4672,4357.1,4121.2,4008.3,3823.6,3568.2,3169.8,2720.8,2345.6,2090.6,1737.8,1395.8,1101.7,823.4,663
辽宁省,10239.1,9386.5,7906,8052.2,7728.7,7039,6617.5,7115.7,7811.3,8039.6,7816.2,7499.4,6371.4,5891.6,5706,4565.4,3643.6,3081.2,2629.7,2532.7
吉林省,3737.9,3839.5,3501.2,3347.8,3287.2,3235.2,3148.2,3090.7,3065,2852.7,2649.7,2376,2029.6,1705,1474.8,1255.1,904.4,819.8,735.1,660.1
黑龙江省,4257.6,3751,3121.8,3334,3266.7,3226.1,3367.3,3593.9,4527.9,4857.5,4776,4624.4,3894.1,3470.2,3765.6,3254.1,2890.2,2556.6,2175.7,1874.8
上海市,10794.5,10676.7,9625.5,9565.1,9763.5,8977.4,8045.5,7888.6,8099.9,7765.3,7661.3,7673.3,6943.9,5740.8,5832,5357.9,4621.2,4038.7,3621.8,3001.6
江苏省,48593.6,45730.7,38198.1,37225.7,36113.2,33782.6,30291.4,28802.6,27154.5,25564.4,23942.2,22313.5,19382.2,16570.3,15336,13137.9,10812,9155,7407.8,6004.7
浙江省,28871.3,26996,22627.8,22520.9,21621.2,20038.7,18661.5,17803.3,16955.3,15835.8,14853.3,14277.8,12432.1,10491.3,10317,9094,7419,6177.6,5428.7,4501.6
安徽省,13792,12790.8,11235.5,11181.7,10639.8,9739.9,8909.4,8360.5,8595.2,8045.3,7279.7,6424.7,4949.2,3743.7,3238.4,2604.9,2031.2,1664.6,1378.2,1185.7
福建省,19628.8,18292.8,15615.5,15654,14781,12864.9,11712,11008.7,10682.2,9650.2,8711.2,7823.2,6532.3,5218.6,4676.9,3956.4,3189.5,2744.7,2422.2,2059.3
江西省,11770.3,10862.9,8991.6,8774.2,8264.2,7969.6,7349.3,7026.2,6930.7,6523.3,5889.2,5462.3,4327.3,3232.5,2936.9,2435.5,1923,1468.7,1149.8,863.3
山东省,28739,26894.1,22986.5,22755.1,22613,22515.8,21696,21156.5,20178.2,19475.3,18421.9,17280.8,15450,13998.5,13310.8,11233.1,9467.5,7875.6,6497.7,4995.7
河南省,19592.8,18113.7,17147.2,17938.2,17323.4,16741.4,15536.8,14797.6,14229.3,13441.5,12868.7,12153.7,10584.6,9064.9,8687.4,7067.2,5584.8,4563.4,3536.8,2833.9
