region,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
北京市,878,919.7,942.7,980.9,998.3,1031.6,1069.7,1107.3,1141,1156.7,1186.1,1220.1,1246.8,1237.8,1273,1164,1158
天津市,542.52,562.92,613.93,647.32,677.13,667,677,693,711,718,718,705,684,672,659,647,641
河北省,3568.97,3609.99,3664.97,3725.66,3792.49,4135,4087,4063,4032,3978,3927,4224,4206.7,4196.1,3702,3671,3643
山西省,1500,1561.2,1550,1614.1,1630.6,1802,1817,1834,1855,1842,1827,1832,1812,1789,1762,1738,1715
内蒙古,1041.1,1051.2,1081.5,1103.3,1142.5,1398,1388,1379,1370,1360,1351,1326,1317,1304,1272,1242,1218
辽宁省,2120.3,2128.1,2180.7,2198.2,2277.1,2317.5,2364.9,2423.8,2518.9,2562.2,2409.9,2301.2,2284.7,2260.6,2238.4,2231,2190
吉林省,1238.9,1250.5,1266.1,1281.4,1297.3,1311.6,1337.78,1355.9,1415.43,1447.17,1480.6,1501.73,1488.53,1474.24,1456.43,1261,1288.44
黑龙江,1748.8,1784,1827.6,1852.4,1877,2102,1977.8,2027.8,2060.4,1946,1825,1776,1699,1635,1551,1473,1420
上海市,863.32,1005.24,1024.33,1053.24,1064.42,1090.76,1104.33,1115.5,1368.91,1365.63,1361.51,1365.24,1372.7,1375.7,1376.2,1374,1365
江苏省,4578.75,4628.95,4677.88,4700.96,4726.54,4724.68,4749.23,4770.54,4791.9,4812.82,4832.5,4850.22,4872.8,4886.9,4903.2,4893,4863
浙江省,3203,3172.4,3615,3692,3591.98,3636.02,3680,3691.24,,,,3760,3796,3836,,3857,3897
安徽省,3669.7,3741,3818,3916,3988,4050,4120.9,4206.8,4275.9,4311,4342.1,4361.6,4377.9,4385.3,4384,3243,3215
福建省,1923,1958,1999,2033,2069,2114,2181,2202,2210,2219,2255,2248,2236,2222,2210,2206,2197
江西省,2276.7,2321.1,2369.6,2405,2445.2,2388,2378,2364,2362,2348,2338,2332,2317,2295,2278,2264,2242
山东省,5689.2,5756.3,5803.6,5815.1,5844.7,5940,5915,5892,5840,5798,5773,5728,5693,5621,5561,5510,5475
河南省,5662,5719,5773,5835,5949,5156,5129,5110,5094,5082,5075,5052,5029,4992,4934,4884,4840
湖北省,3537,3564,2763,3607,3024.5,3375,3672,3687,3692,3687.5,3658,3633,3610,3580,3375,3261,3286
湖南省,3801.48,3842.17,3883.41,3910.06,3935.21,3982.73,4005.03,4019.31,4036.45,4044.13,3980.3,3920.41,3817.22,3738.58,3666.48,3280,3258
广东省,5022.97,5177.02,5341.5,5471.72,5688.62,6051,6087,6171,6273,6428,6566,6703,6858,6960,6995,7039,7072
广西,2703,2760,2769,2807.2,2863,2666,2936,2768,2782,2795,2595,2583,2566,2562,2558,2558,2544
海南省,379.55,389.03,397.46,408.36,424.56,457.65,459.22,483.9,514.56,543.1,555.77,558.1,583.06,600.5,536.11,540.97,544
重庆市,1456.3,1454.77,1468.87,1492.43,1513,1551.03,1587.04,1605.89,1618.69,1632.12,1647.41,1658.32,1659.33,1663.23,1668.16,1676.01,1668
四川省,4702,4715,4731.1,4740,4756.62,4677,4650,4635,4634,4638,4652,4657,4667,4690,4714,4745,4727
贵州省,1944.29,1953.24,1872.64,1867.2,1841.92,1779,1772,1780,1796,1820,1842,1859,1881,1886,1888,1892,1886
云南省,2461.32,2517.6,2601,2679.5,2730.2,2794,2857.24,2881.9,2912.36,2962.25,2823,2855,2831,2822,2812,2806,2774
西藏,144,148,158,164,169,169,171,174,175,176,181,185,187,187,190,193,194
陕西省,1976,1986,2013,2039,2060,2083,2087,2091,2090,2101,2107,2111,2111,2112,2114,2105,2091
甘肃省,1391,1401,1415,1446,1489,1397,1379,1358,1352,1348,1346,1341,1337,1337,1333,1331,1319
青海省,291,294.19,276,317.18,286,307.7,309.18,310.9,314.2,317.3,321.4,324.3,327,329.3,330.2,279,277
宁夏,299.6,308.1,309.5,303.9,328.5,342,347,344,345,344,343,343,344,345,343,344,345
新疆,791.62,811.75,830.42,847.58,866.15,1213,1235,1246,1260,1265,1292,1320,1336,1331,1343,1356,1360
