region,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
北京市,96.8,121.73,184.91,140.82,156.5,182.2,228.9,235.6,292.4,277.3,268.3,321,--,401,522,555,2592
天津市,156,141.84,97.9,70.4,106.2,115.6,165.1,247.7,297.9,281.8,316,296,--,157,165,200,264
河北省,18,22.38,42.1,61.85,72.5,89.3,83.6,79.7,107.8,138.2,160.4,163,--,125,189,216,269
山西省,2.7,1.06,6.32,6.3,8.1,12.8,28.4,109.8,25.1,42.7,54.8,47,--,61,56,56,108
内蒙古,6.3,8.52,12.84,8.6,12.81,31.1,33.8,20.8,33.9,36,28.8,24,--,21,10,24,48
辽宁省,16.8,24.71,43.9,56.71,67.8,141,153.5,160,173.1,196.1,155.2,144,--,246,235,245,383
吉林省,11.8,17.66,39.31,32.5,50.93,57.5,98,93.4,115.3,137.3,186.5,190,--,142,145,139,200
黑龙江,14.4,14.06,20.4,30.3,38.5,47.7,47,46.5,48.8,51.6,70.6,66,--,44,37,31,48
上海市,93.9,121.56,153,105.6,75.9,251.2,222,215.5,235.7,302.3,285,335,--,368,439,431,546
江苏省,252.3,325.85,457.3,687.22,676.1,942.1,1065.1,1282,1521.5,1671.2,1813.5,2060,--,1784,1405,1841,2294
浙江省,82,118.4,164.8,182.4,198.33,296.3,350.2,370.9,419.2,475,518.7,617,--,754,825,1095,1390
安徽省,9.5,13.4,16.9,31.01,40.92,69.6,85.9,143.4,157.8,191.3,221.9,239,--,255,217,227,430
福建省,69.1,101.34,118.2,108,114.23,197.7,182.8,181.6,176.9,204.4,196.8,329,--,450,501,592,928
江西省,10.8,15.52,22.65,37.8,41.54,64,85.8,122.1,156,189.9,227.9,282,--,337,362,412,573
山东省,95.7,114.7,173.2,226.6,279.1,383.6,463.7,612.9,700.3,781.3,874.2,953,--,600,479,681,746
河南省,15,25.35,55.9,74.63,83.2,129.7,167.1,205.9,274.1,340.7,408.3,445,--,355,337,329,402
湖北省,21.3,27.74,34.1,60.15,80.42,151.3,130.1,130.1,148.4,143.1,198.5,260,--,304,282,254,476
湖南省,10.5,11.49,16.03,38.64,50.4,89.3,142.5,156.1,188.1,154.1,179.3,206,--,233,272,406,405
广东省,362.69,447.56,573.95,538.3,859.9,1225.6,1006.5,1110.9,1388.6,1578.4,2034.1,2094,--,2342,2731,3001,4124
广西,7.7,7.76,8.04,16,19.22,55.9,83.7,108.7,124.2,131.7,169.5,223,--,108,127,86,110
海南省,5.5,7.4,6.9,8.44,10,14.5,12.8,31.6,17,19.1,21.4,24,--,36,40,35,45
重庆市,9.1,10.28,12.2,14.83,23.4,25.4,36.2,50.2,73.6,110.5,162.6,211,--,245,216,310,506
四川省,27.6,32.23,71.8,108.2,116.1,154.6,212.3,304.2,370,413.3,173.2,394,--,378,367,476,623
贵州省,3,7.36,14.11,16.32,21.2,27.2,29.1,33.1,30.47,43.92,56.92,58.83,69.28,73.66,57.85,62.41,76.93
云南省,6.6,8.09,9.54,14.82,19.5,21.5,28.9,28.6,42.2,34,27.9,43,--,108,137,233,229
西藏,1.6,1.11,1,1.4,1.8,2.1,1.9,2.6,3.3,3,3.7,3,--,4,7,8,17
陕西省,6.5,22.08,28.94,33.1,38.4,77.6,73.4,77.2,86.2,116.2,138.4,211,--,281,262,335,417
甘肃省,2.6,3.31,7.51,9.9,9.7,11.7,12.1,14.5,19.1,23,27.2,24,--,33,50,46,91
青海省,0.8,1.1,1.5,0.5,0.7,1.2,2.4,5,7.8,6.2,5.3,9,--,10,5,12,23
宁夏,0.9,1.17,1.1,1.6,2.7,6,7.7,3.1,-0.1,0.0,3.2,12,--,10,20,36,58
新疆,1.1,0.98,2.3,2.53,2.93,4.2,4.4,2.7,1.9,0.7,7,12,--,28,7,21,12
