region,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京市,1980.9,3684.37,1729.55,1710.25,1530,2023.67,1608.26,1597.71,1515.75,1282.88,1267.89,1129.5,1028.34,742.92,557,695.61,531.15,413.5,397.41,235.29
天津市,1523.3,1503.27,971.15,1247.68,1200.7,1061.37,2046.69,2221.82,2261.83,2258.93,2100.66,1933.72,1552.05,831.68,752.79,767.12,693,551.6,409.47,237.62
河北省,1261.2,2454.86,2177.78,2140.1,2211.7,2712.87,2815.11,2360.99,2610.9,2734.7,2559.47,2639.01,2141.47,1440.28,1369.84,1269.98,884.74,690.38,528.54,386.76
山西省,3633.4,3072.48,1086.28,1164.69,1355.9,1031.59,294.78,-30.69,256.31,614.59,1010.91,1282.96,958.25,461.82,634.25,570.05,352.28,261.28,243.83,135.07
内蒙古自治区,4060,3378.19,1314.98,1463.06,1409.4,1451.74,1344.41,1048.55,1299.32,2014.06,1931.69,2210.94,1688.44,988.17,771.44,641.99,348.69,235.13,142.19,64.97
辽宁省,1540.9,1841.96,1341.22,1354.04,1460.3,1063.25,575.39,1069.66,2107.63,2976.15,2435.69,2511.21,2371.35,1381.95,781.58,852.67,449.75,355.98,430.78,235.95
吉林省,917.3,1078.82,573.99,743.99,817,1028.03,1268.49,1208.47,1445.89,1278.39,1215.04,1175.97,843.21,540.03,396.23,452.1,206.42,141,184.3,159.75
黑龙江省,604,536.98,311.48,417.22,487,416.7,295.54,465.09,1007.08,1185.49,1338.56,1446.65,1248.82,872.62,1581.69,1277.34,1267.58,1067.09,744.58,575.56
上海市,2793.6,3164.63,2882.67,2927.07,3338.4,3243.8,2913.91,2680.53,2650,2392.05,2149.42,2253.82,2299.66,1431.97,967.24,1308.99,1096.92,939.56,1052.77,805.65
江苏省,9061.9,9586.47,7622.8,6855.03,8491.9,10052.54,10574.4,9686.84,9057.17,8379.5,7250.2,7074.44,5970.56,4099.58,3972.93,2765.77,1906.91,1384.64,1126.58,793.98
浙江省,5863.6,7019.41,5807.04,5003.04,4452.1,4605.41,4469.42,3839.99,3729.13,3561.26,3112.65,3320.45,3174.75,2115.65,1634.2,1775.47,1375.49,1103.53,999.73,793.63
安徽省,2449.7,2870.96,2439.55,2254.3,2448.2,2352.44,2242.26,2000.12,1943.62,2108.77,1870.26,1663.16,1445.57,819.04,606.73,359.94,253.93,218.2,207.74,168.52
福建省,4071.3,4980,3949.87,4326.54,3537.1,3221.82,2889.26,2359.82,2344.27,2227.45,2023.27,2114.54,1754.18,1104.05,896.11,894.51,586.52,407.55,382,314.4
江西省,3456.1,3270.22,2591.34,2262.8,2157.8,2355.56,2443.93,2114.65,2130.41,1802.24,1506.51,1215.94,909.77,537.07,507.96,307.75,194.19,112.41,71.88,51.41
山东省,4473.2,5394.75,4431.32,3652.74,4872.2,8128.17,8820.02,8660.48,8843.91,8715.36,8016.35,7097.71,6107.99,4512.66,3923.56,3391.15,2632.58,2164.7,1407.86,920.27
河南省,2534,2933.52,2823.18,3547.88,3053.4,5352.43,5240.61,4900.6,4946.19,4543.07,4016.39,4131.59,3302.22,2444.18,2287.78,1941.51,1141.8,643.39,403.86,255.91
湖北省,3139.6,4419.29,2646.93,3049.57,2755.4,2608.03,2713.46,2456,2402.63,2475.07,2046.28,1866.26,1668.55,1092.47,909.03,647.85,454,371.84,270.98,194.4
湖南省,2310.1,2618.32,2559.92,2227.27,1726.9,2093.98,2028.59,1808.7,1688.3,2047.87,1790.96,1832.99,1451.45,758.48,663.56,488.24,272.69,189.25,154.77,111.25
广东省,9460.9,11278.35,9572.09,9140.48,8309.7,8864.36,8383.04,7723.16,7014.99,6496.42,5464.9,5872.23,6239.64,4204.4,3272.6,3085.65,2217.73,1693.99,1449.96,1075.41
广西壮族自治区,702.3,1346.66,990.49,923.78,1100.1,1610.95,1393.35,1279.06,1085.71,1014.24,932.83,894.82,771.59,321.27,231.14,293.51,190.69,134.99,121.3,66.42
海南省,135.2,212.72,133.15,170.5,145.3,110.03,101.87,103.61,113.36,123.16,133.35,154.84,140.04,106.66,80.74,71.81,60,35.04,28.54,17.66
重庆市,1683.8,2133.79,1506.53,1210.32,1218.7,1501.87,1648.36,1411.86,1229.65,907.6,645.39,660.35,518.59,356.2,308.68,241.73,156.65,115.59,115.59,85.97
四川省,4836.3,4546.72,3386.38,3036.89,2717.9,2824.26,2339.82,2171.26,2237,2328.99,2333.76,2197.84,1661.85,1123.7,844.56,700.05,448.07,326.65,188.57,153.08
贵州省,1284.9,1249.64,1174.41,976.3,879.2,903.43,847.02,732.76,628.68,636.6,627.02,456.2,317.63,191.73,181.83,174.41,110.91,70.79,61.99,37.52
云南省,1330.5,1357.21,1115.02,950.8,925.2,782.65,334.98,465.53,516.08,630.63,586.52,639.7,599.34,365.23,310.14,388.61,310.18,227.91,213.72,108.06
西藏自治区,61.5,50.1,19.17,6.94,17.4,26.6,16.94,6.93,12.56,7.34,12.89,12.83,10.82,6.82,4.5,7.15,5.54,4.47,3.44,2.97
陕西省,4570.3,3710.31,2037.07,2360.44,2436.3,2274.43,1589,1441.3,1877.44,2151.37,2057.22,1976.31,1469.57,854.11,1008.99,691.83,523.95,400.65,253.9,158.62
