region,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
北京市,4436.1,4648.2,5139.6,5049.8,5399.3,5747.7,5786.2,6008.6,6359.5,6397.3,6564.1,6723.9,6831.2,6802.8,6961.7,7132.8,7269.8,7360.3,6762.1,--
天津市,3022.15,3215,3697,4085,4500,4943,5364,5874,6818,7598,7325.56,7881.83,8145.06,8319.38,8078.28,7831.72,7973.29,8240.7,8104.6,8205.69
河北省,13404.53,15297.89,17347.79,19836,21794.09,23585.13,24321.87,25418.79,26201.41,28075.03,28762.47,29664.38,29320.21,31037,31458.05,32082.56,32185.24,32545.43,32783,--
山西省,9340,10387,11251,12750,14098,15601,15675,15576,16808,18315,19336,19761,19863,19029,18974,19581,20199,20859,--,--
内蒙古,5190.12,6612.77,8601.81,8772.61,10092.89,11373.67,12410.26,13401.14,14573.6,16140.03,16912.92,17544.17,18167.46,18783.71,19309.66,19763.44,23068.47,25345.57,27133.65,--
辽宁省,10333.5,11430.7,12454,12883.3,14228,15757.9,16925.7,18172.5,19856.4,21492.1,22313.9,20499.6,20585.7,20217.3,19677,20060.9,20779,22103,23199.5,--
吉林省,4209,4468.8,4778.7,5258.5,5871.5,6465.9,7100.1,7553.4,8172.8,8886.9,9028.3,8645.4,8559.8,7020.1,6885.7,6881.4,7000.4,7132.2,7185.7,7287.6
黑龙江,6204.2,6309.8,7515,8076,8727.5,9374,9979.4,10466.7,11139.3,12118.5,12757.8,11853.3,11954.9,11104,11070,11258,11435.9,11613.9,11525.1,12191.6
上海市,6114.47,6658.49,7167.16,7730.66,8355.49,9103.3,9608.49,9759.35,10243.26,10489.09,10573,10890.39,10639.86,10930.53,11241.73,11381.85,11453.73,11696.46,11099.59,11683.02
江苏省,9609,11060.7,13652,17167.39,18742.19,20948.04,22232.23,23709.28,25773.7,26612.21,27821.11,29205.38,29863.03,30374.14,31209.71,31602.09,31635.2,32525.97,32672.49,--
浙江省,8279.64,9522.56,10824.69,12031.67,13218.85,14524.13,15106.88,15566.89,16865.29,17827.27,18076.18,18640,18826,19610,20275.6,21030.01,21674.56,22393,24660,26624
安徽省,5316,5457.1,6017,6506,7069,7739,8325.4,8895.9,9414,10251.86,11015,11696.39,12011.02,12301.23,12662.89,13018.71,13294.71,13869.73,14697.9,15342.63
福建省,3615.33,4062.55,4527.8,5753.99,6396.85,7109.26,7734.2,8353.67,9189.42,9980.23,10479.44,10898.51,11794.37,11862.79,12035.99,12554.74,13131.01,13718.31,13905.19,15157.51
江西省,2933,3426,3814,4286,4660.1,5052.5,5383,5812.5,6280.6,6847.1,7148.3,7582.9,8055.4,8423.44,8730.1,8971.9,9285.7,9665.2,9808.6,10345.5
山东省,16149.7,18195.76,19624,24162,26759,29177,30570,32420,30235.7,37132,38899,35358,36511,39331.6,40137.9,40097.7,40580.5,41390,42132.9,44611.1
河南省,9005,10595,13074,14625,16234,17838,18976,19751,18964,20462,20920,21909,22890,22343,22323,22162,22659,22300,22752,--
湖北省,6713,7708,9120,10082,11049,12143,12845,13708,15138,16579,17675,15703,16320,15477,15897,16180,16682,17316,--,--
湖南省,5045,6298,7599.2,9709,10581,11629,12355,13331,14880,16161,16744,14919,15317,14514,14845,15200,15544,16001,--,--
